<<<<<<< HEAD
food,Soup,Soup
breakfast,Muesli,Muesli
food,Beans,Beans
food,Rice,Rice
breakfast,Scambled egg,Scambled egg
lunch,Tuna Sandwich,Tuna Sandwich
lunch,Salmon Sandwich,Salmon Sandwich
breakfast,Oats & honey,Oats & honey
breakfast,Cereal,Cereal
food,Nuts in Salad,Nuts in Salad
food,Potatotes,Potatotes
food,Spaghetti,Spaghetti
food,Yoghurt,Yoghurt
dinner,Salad,Salad
dinner,Vegetables,Vegetables
food,Salad,Salad
food,Vegetables,Vegetables
=======
food,soup,soup
food,muesli,muesli
food,beans,beans
food,rice,rice
food,scambled egg,scambled egg
food,tuna,tuna
food,salmon,salmon
food,oats,oats
food,cereal,cereal
food,nuts,nuts
food,potatotes,potatotes
food,spaghetti,spaghetti
food,yoghurt,yoghurt
food,salad,salad
food,vegetables,vegetables
>>>>>>> master
