Food,Soup,Soup
Food,Muesli,Muesli
Food,Beans,Beans
Food,Rice,Rice
Food,Scambled Egg,Scambled Egg
Food,Tuna,Tuna
Food,Salmon,Salmon
Food,Oats,Oats
Food,Cereal,Cereal
Food,Nuts,Nuts
Food,Potatotes,Potatotes
Food,Spaghetti,Spaghetti
Food,Yoghurt,Yoghurt
Food,Salad,Salad
Food,Vegetables,Vegetables
Exercise,Running,Running
Exercise,Walking,Walking
Exercise,Cycling,Cycling
Exercise,Pushups,Pushups
Exercise,Situps,Situps
Exercise,Basketball,Basketball
Exercise,Tennis,Tennis
Exercise,Biking,Biking
Exercise,Jogging,Jogging
Exercise,Netball,Netball
Exercise,Swimming,Swimming
Exercise,Biking,Biking
Exercise,Plank,Plank
Exercise,Squat,Squat
Exercise,Boxing,Boxing
Exercise,Rowing,Rowing
Exercise,Aquarobics,Aquarobics
Exercise,Dancing,Dancing
